No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
10084,Liquid Fund,8308761800.69,53148498.73,156.3311,156.3311,156.3311,02-01-2017
10083,Watoto Fund,3309161689.66,11742727.53,281.8052,281.8052,278.9871,02-01-2017
10082,Wekeza Maisha Fund,3674944504.1,11633993.7,315.8799,315.8799,309.5623,02-01-2017
10081,Umoja Fund,210599771823.31,437762027.76,481.0827,481.0827,476.2719,02-01-2017
10080,Liquid Fund,8372913496.02,53538696.2,156.3899,156.3899,156.3899,03-01-2017
10079,Jikimu Fund,24726444495.86,203877258.03,121.281,121.281,118.8554,03-01-2017
10078,Watoto Fund,3286104045.25,11745832.52,279.7004,279.7004,276.9034,03-01-2017
10077,Wekeza Maisha Fund,3651381131.03,11635309.13,313.7407,313.7407,307.4659,03-01-2017
10076,Umoja Fund,207993036351.49,437800268.59,475.0866,475.0866,470.3357,03-01-2017
10075,Liquid Fund,8386564349.86,53605836.08,156.4487,156.4487,156.4487,04-01-2017
10074,Jikimu Fund,24768390334.33,204014109.87,121.4053,121.4053,118.9772,04-01-2017
10073,Jikimu Fund,24735128785.81,203886080.51,121.3184,121.3184,118.892,04-01-2017
10072,Watoto Fund,3286364107.75,11746762.08,279.7677,279.7677,276.97,04-01-2017
10071,Wekeza Maisha Fund,3651556119.04,11635866.92,313.819,313.819,307.5426,04-01-2017
10070,Umoja Fund,208055334970.68,437831726.01,475.1947,475.1947,470.4428,04-01-2017
10069,Liquid Fund,8377757010.71,53527588.67,156.5129,156.5129,156.5129,05-01-2017
10068,Jikimu Fund,24768390334.33,204014109.87,121.4053,121.4053,118.9772,05-01-2017
10067,Watoto Fund,3287878478.89,11749351.39,279.8349,279.8349,277.0365,05-01-2017
10066,Wekeza Maisha Fund,3652663623.71,11636208.65,313.905,313.905,307.6269,05-01-2017
10065,Umoja Fund,207887807566.51,437383313.49,475.2989,475.2989,470.5459,05-01-2017
10064,Liquid Fund,8386908624.05,53565579.26,156.5727,156.5727,156.5727,06-01-2017
10063,Jikimu Fund,24747795279.86,204014109.87,121.3043,121.3043,118.8782,06-01-2017
10062,Watoto Fund,3285237557.15,11749601.53,279.6042,279.6042,276.8081,06-01-2017
10061,Wekeza Maisha Fund,3652019980.56,11637950.19,313.8027,313.8027,307.5266,06-01-2017
10060,Umoja Fund,207860030545.49,437390000.86,475.2281,475.2281,470.4758,06-01-2017
10059,Liquid Fund,8467346472.59,54019042.73,156.7474,156.7474,156.7474,09-01-2017
10058,Jikimu Fund,24790582502.14,204102284.65,121.4616,121.4616,119.0323,09-01-2017
10057,Watoto Fund,3287749455.5,11750120.12,279.8056,279.8056,277.0075,09-01-2017
10056,Wekeza Maisha Fund,3655538614.74,11640468.97,314.0371,314.0371,307.7563,09-01-2017
10055,Umoja Fund,208131177005.87,437456379.51,475.7758,475.7758,471.0181,09-01-2017
10054,Liquid Fund,8472032394.58,54028612.26,156.8064,156.8064,156.8064,10-01-2017
10053,Jikimu Fund,24800553367.2,204121783.66,121.4988,121.4988,119.0688,10-01-2017
10052,Watoto Fund,3285998335.8,11751370.99,279.6268,279.6268,276.8305,10-01-2017
10051,Wekeza Maisha Fund,3656547227.15,11640778.43,314.1154,314.1154,307.833,10-01-2017
10050,Umoja Fund,208188445798.46,437472720.19,475.889,475.889,471.1301,10-01-2017
10049,Liquid Fund,8524363971.11,54342246.99,156.8644,156.8644,156.8644,11-01-2017
10048,Jikimu Fund,25163259147.6,206042102.52,122.1268,122.1268,119.6842,11-01-2017
10047,Watoto Fund,3304185530.75,11740653.75,281.4311,281.4311,278.6168,11-01-2017
10046,Wekeza Maisha Fund,3684995235.82,11660007.03,316.0371,316.0371,309.7164,11-01-2017
10045,Umoja Fund,210476702227.39,437482484.79,481.1089,481.1089,476.2978,11-01-2017
10044,Liquid Fund,8503387928.39,54167899.46,156.9821,156.9821,156.9821,13-01-2017
10043,Jikimu Fund,24975412849.36,205370083.98,121.6117,121.6117,119.1795,13-01-2017
10042,Watoto Fund,3288023440.62,11736348.98,280.1573,280.1573,277.3557,13-01-2017
10041,Wekeza Maisha Fund,3669846320.47,11660007.03,314.7379,314.7379,308.4432,13-01-2017
10040,Umoja Fund,208037541774.64,436586660.23,476.5092,476.5092,471.7441,13-01-2017
10039,Liquid Fund,8515123191.63,54180639.77,157.1617,157.1617,157.1617,16-01-2017
10038,Jikimu Fund,25012821373.95,205494023.77,121.7204,121.7204,119.286,16-01-2017
10037,Watoto Fund,3291942282.74,11741881.59,280.359,280.359,277.5554,16-01-2017
10036,Wekeza Maisha Fund,3673982842.1,11664772.9,314.9639,314.9639,308.6647,16-01-2017
10035,Umoja Fund,208188870009.32,436598483.72,476.8429,476.8429,472.0744,16-01-2017
10034,Liquid Fund,8530780120.08,54259502.06,157.2219,157.2219,157.2219,17-01-2017
10033,Jikimu Fund,25040690986.97,205566518.35,121.8131,121.8131,119.3768,17-01-2017
10032,Watoto Fund,3292794693.55,11742077.77,280.4269,280.4269,277.6227,17-01-2017
10031,Wekeza Maisha Fund,3675703791.41,11667262.07,315.0442,315.0442,308.7434,17-01-2017
10030,Umoja Fund,208246061906.83,436616596.19,476.9541,476.9541,472.1845,17-01-2017
10029,Liquid Fund,8514904407.12,54138603.81,157.2797,157.2797,157.2797,18-01-2017
10028,Jikimu Fund,25054868022.97,205620969.3,121.8498,121.8498,119.4128,18-01-2017
10027,Watoto Fund,3293905706.66,11743198.13,280.4948,280.4948,277.6898,18-01-2017
10026,Wekeza Maisha Fund,3676749009.46,11667605.96,315.1245,315.1245,308.8221,18-01-2017
10025,Umoja Fund,208206146022.16,436629417.22,476.8486,476.8486,472.0802,18-01-2017
10024,Liquid Fund,8790817896.58,55872096.41,157.3383,157.3383,157.3383,19-01-2017
10023,Jikimu Fund,24807381840.88,203525281.67,121.8885,121.8885,119.4507,19-01-2017
10022,Watoto Fund,3294306315.7,11741785.6,280.5626,280.5626,277.757,19-01-2017
10021,Wekeza Maisha Fund,3677695822.32,11667637.7,315.2048,315.2048,308.9007,19-01-2017
10020,Umoja Fund,208000649619.22,436098750.19,476.9577,476.9577,472.1881,19-01-2017
10019,Liquid Fund,8794156998.91,55872096.41,157.398,157.398,157.398,20-01-2017
